rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried,floors,basement
False,,,,,False,,False,False,False,0,False
False,5 tỷ,50.0,,,False,,False,False,False,5,False
False,"1,9 tỷ",,,,False,,False,False,True,3,False
False,3.15 tỷ,89.0,,,False,đông,False,False,False,0,False
False,"17,5 tỷ",182.46,,,False,nam,False,False,True,0,False
False,16 tỷ,173.8,,,False,,False,False,True,0,False
False,2 tỷ,22.0,,,False,,False,False,False,0,False
False,7 tỷ,120.0,,,False,,False,False,False,3,False
False,7.x tỷ,,,,False,,False,False,False,4,False
False,7.x tỷ,,,,False,,False,False,False,4,False
False,,128.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
True,6 tỷ,215.0,,,False,tây,False,False,False,3,False
False,14tỷ,,,,False,,False,False,False,0,False
False,3 tỷ,,,,False,,False,False,False,4,False
False,4.x tỷ,80.0,,,False,,False,False,False,0,False
False,"5,1 tỷ",62.0,,,False,,False,False,False,0,False
False,4.x tỷ,70.0,,,False,,False,False,False,2,False
False,6.2 tỷ,,,,False,,False,False,False,4,False
False,7.4 tỷ,,,,False,,False,False,False,2,False
False,4 tỷ,44.0,,,False,,False,True,False,0,False
False,5.9 tỷ,,,,False,,False,False,False,0,False
False,6.8 tỷ,,,,False,,False,False,False,2,False
False,7.5 tỷ,,,,False,,False,False,False,4,False
False,14tỷ,,6.0,,False,,False,True,False,0,False
False,5.2 tỷ,,,,False,,False,False,False,4,False
False,4 tỷ,54.0,,,False,,False,False,False,5,False
False,,,,,False,,False,False,True,2,False
False,13.x tỷ,75.0,,,False,,False,False,False,6,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,7 tỷ,,6.0,,False,,False,False,False,3,False
False,4.x tỷ,40.0,,,False,,False,False,False,2,False
False,6.2 tỷ,64.0,,,False,,False,False,False,4,False
False,6.x tỷ,60.0,,,False,,False,False,False,4,False
False,,110.0,,,False,tây,False,False,False,0,False
False,4tỷ,,,,False,,True,False,False,0,False
False,,,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,5.3 tỷ,57.0,,,False,,False,False,False,2,False
False,4 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,4,False
False,2.x tỷ,34.0,,,False,,False,False,False,4,False
False,,,,,False,,False,False,False,3,False
False,3.05tỷ,18.0,,,False,,False,False,True,0,False
False,6.8 tỷ,,,,False,,False,False,False,0,False
False,"4,5 tỷ",65.0,,,False,,False,True,False,2,False
False,6.x tỷ,,,,False,,False,False,False,2,False
False,3 tỷ,,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,,86.0,,,False,,False,False,False,0,False
False,38 tỷ,,8.0,,False,,False,False,False,4,False
False,,,,,False,,False,True,False,0,False
False,4.x tỷ,35.0,,,False,,False,False,False,3,False
True,,,,,False,,False,False,False,4,False
False,4 tỷ,62.0,,,False,,False,False,False,3,False
False,2 tỷ,12.4,,,False,,False,False,False,2,False
False,9 triệu,52.0,3.0,,False,,False,False,False,0,False
False,,72.0,,,False,,False,False,False,4,False
False,2 tỷ,,,,False,đông,False,False,False,2,False
False,2 tỷ,21.0,,,False,,False,False,False,2,False
False,9 triệu,52.0,3.0,,False,,False,False,False,0,False
False,11.5 tỷ,84.0,,,False,,False,False,True,5,False
False,,,,,False,,False,False,True,0,False
False,6 tỷ,,,,False,,False,False,False,3,False
False,"4,8 tỷ",,3.0,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4 tỷ,52.0,,,False,,False,False,False,2,False
False,3.2 tỷ,,,,False,,False,False,False,0,False
False,5.3 tỷ,,,,False,,False,False,False,2,False
False,18.5 tỷ,,,,False,,False,False,False,0,False
False,5.6 tỷ,,,,False,,False,False,False,3,False
False,,90.0,,,False,,False,False,False,0,False
False,2tỷ,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,True,0,False
False,"6,3 tỷ",,,,False,,False,False,False,4,False
False,4.98 tỷ,50.0,,,False,,False,False,False,2,False
False,100 tỷ,,,,False,,False,False,False,0,False
False,35tỷ,,,,False,,False,False,False,0,False
False,7.9 tỷ,120.0,,,False,,False,False,True,3,False
False,8 tỷ,,,,False,,False,False,False,3,False
False,2 tỷ,60.0,,,False,,False,False,False,3,False
False,6tỷ,,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,7.x tỷ,64.0,,,False,,False,False,False,4,False
False,5 tỷ,,,,False,nam,False,False,False,0,False
False,5 tỷ,,,,False,,False,False,False,3,False
False,,44.0,,,False,,True,False,False,0,False
False,"3,7 tỷ",49.0,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,0,False
False,"3,6 tỷ",48.0,,,False,,False,False,False,2,False
False,4.x tỷ,,,,False,,False,False,False,5,False
False,,,,,False,,False,False,False,0,False
False,"4,9 tỷ",,3.0,,False,,False,False,False,0,False
False,4 tỷ,45.0,,,False,,False,False,False,3,False
False,2 tỷ,,,,False,,False,False,False,0,False
False,14 tỷ,108.0,,,False,,False,False,False,2,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,180 tỷ,,,,False,,False,False,False,7,False
False,29 tỷ,,,,False,,False,False,False,0,False
False,4 tỷ,45.0,,,False,,False,False,False,3,False
False,8.x tỷ,80.0,,,False,nam,False,False,False,4,False
False,7 tỷ,,4.0,,False,,False,False,False,3,False
False,13tỷ,92.0,,,False,nam,False,False,True,0,False
False,3.x tỷ,,,,False,,False,False,False,2,False
False,,,5.0,4.0,False,,False,False,False,0,False
False,5 tỷ,40.0,,,False,,False,False,False,0,False
False,5 tỷ,40.0,,,False,,False,False,True,5,False
False,,,,,False,,False,False,False,0,False
False,"4,1 tỷ",56.0,,,False,đông,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,"5,6 tỷ",,5.0,,False,,False,False,False,0,False
False,"5,8 tỷ",,,,False,,False,False,False,3,False
False,,,,,False,bắc,False,False,False,0,False
False,,,,,False,bắc,False,False,False,0,False
False,"3,55 tỷ",40.0,,,False,,False,False,False,0,False
True,4.35 tỷ,55.0,,,False,,False,False,False,0,False
False,,80.0,,,False,,False,False,False,0,False
False,5.5 tỷ,,,,False,,False,False,False,3,False
False,5.5 tỷ,,,,False,,False,False,False,2,False
False,4.x tỷ,60.0,,,False,,False,False,False,2,False
False,4.x tỷ,60.0,,,False,,False,False,False,2,False
False,5.9 tỷ,,,,False,,False,False,False,3,False
False,8 tỷ,,,,False,,False,True,False,4,False
False,,,,,False,,False,False,False,6,True
False,10 tỷ,,,,False,,False,False,True,0,False
False,"6,8 tỷ",,,,False,,False,False,False,3,False
False,"6,8 tỷ",,,,False,,False,False,False,3,False
False,2tỷ,80.0,,,False,,False,False,False,0,False
False,3 tỷ,,,,False,,False,False,False,0,False
False,3.2 tỷ,34.0,,,False,,False,False,False,4,False
False,3.5tỷ,,,,False,,False,False,False,0,False
False,5.x tỷ,60.0,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,5 tỷ,70.0,,,False,,False,False,False,4,False
False,3 tỷ,35.0,,,False,,False,False,False,4,False
False,,,,,False,tây,False,False,False,0,False
False,2 tỷ,,,,False,,False,False,False,0,False
False,,103.0,,,False,,False,False,False,0,False
False,4.x tỷ,53.0,,,False,,False,False,False,3,False
False,4.6 tỷ,52.0,,,False,,False,False,False,0,False
False,"5,95 tỷ",,,,False,,False,False,False,2,False
False,,,3.0,,False,nam,False,False,False,3,False
False,,,2.0,,False,,False,False,False,2,False
False,,,2.0,,False,,False,False,False,2,False
False,9.9 tỷ,91.0,,,False,,False,False,False,5,False
False,9 tỷ,115.0,,,False,,False,False,False,3,False
False,3.7 tỷ,,,,False,,False,False,False,4,False
False,3.7 tỷ,,,,False,,False,False,False,4,False
False,,,,,False,bắc,False,False,True,0,False
False,,,,,False,,False,False,False,0,False
False,16 tỷ,168.0,,,False,,True,False,True,3,False
False,16 tỷ,168.0,,,False,,True,False,True,3,False
False,4 tỷ,93.0,,,False,,False,False,False,0,False
False,4 tỷ,93.0,,,False,,False,False,False,0,False
False,1 tỷ,,2.0,,False,,True,False,True,2,False
False,,,,,False,,False,False,False,3,False
False,,60.0,,,False,,False,False,False,0,False
False,3.8 tỷ,,,,False,,False,False,False,3,False
False,3.8 tỷ,,,,False,,False,False,False,3,False
False,"3,3 tỷ",57.0,,,False,,False,False,False,0,False
False,"5,2 tỷ",,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,60.0,,,False,,False,False,False,0,False
False,"3,1 tỷ",116.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,3,False
False,"3,4 tỷ",48.0,,,False,đông,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,2 tỷ,,,,False,tây,False,False,False,3,False
False,2.4 tỷ,30.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,1,False
True,,,3.0,2.0,False,,False,False,False,3,False
False,2 tỷ,30.0,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,3.x tỷ,40.0,,,False,,False,False,False,2,False
False,,,,,False,nam,False,False,True,0,False
False,5 tỷ,60.0,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,3 tỷ,25.0,,,False,,False,False,True,5,False
False,"3,9 tỷ",76.0,,,False,,False,False,False,0,False
False,"3,9 tỷ",76.0,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,1 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,11 tỷ,,,,False,,False,False,False,4,False
False,9 tỷ,,,,False,,False,False,False,4,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4 tỷ,76.0,,,False,,False,False,False,4,False
False,,,,,False,,False,False,False,4,False
False,7 tỷ,82.0,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,2 tỷ,47.0,,,False,,False,False,False,0,False
False,3.65 tỷ,,,,False,,False,False,False,0,False
