post_code,post_date,district,square,bedroom,bathroom,house_direction,has_balcony,has_furniture,has_legal_info,is_hurried,floor,has_basement,house_type,price
278513,"[datetime.datetime(2023, 9, 19, 14, 28)]",Bình Thạnh,80.0,4.0,3.0,,False,False,False,False,4,False,nhà riêng,9.0
278498,"[datetime.datetime(2023, 9, 18, 16, 15)]",Bình Thạnh,40.0,3.0,3.0,,False,True,True,False,4,False,nhà riêng,4.8
278497,"[datetime.datetime(2023, 9, 18, 16, 16)]",Gò Vấp,68.0,5.0,5.0,,False,False,True,False,4,False,nhà riêng,5.7
278496,"[datetime.datetime(2023, 9, 18, 16, 25)]",Gò Vấp,56.0,6.0,5.0,,False,False,False,False,3,False,nhà riêng,4.8
278495,"[datetime.datetime(2023, 9, 18, 16, 38)]",Tân Phú,94.0,5.0,4.0,đông,True,True,False,True,4,False,nhà mặt phố,9.38
278490,"[datetime.datetime(2023, 9, 18, 16, 59)]",Quận 9,88.0,3.0,3.0,,False,False,True,False,3,False,nhà riêng,84.0
278488,"[datetime.datetime(2023, 9, 18, 17, 5)]",Gò Vấp,20.0,1.0,1.0,,False,False,True,True,2,False,nhà mặt phố,3.1
278487,"[datetime.datetime(2023, 9, 18, 17, 18)]",Quận 7,123.0,3.0,4.0,,False,True,False,False,3,False,nhà riêng,6.0
278484,"[datetime.datetime(2023, 9, 18, 18, 25)]",Tân Phú,60.0,6.0,6.0,,False,False,True,False,7,False,nhà riêng,76.0
278483,"[datetime.datetime(2023, 9, 18, 19, 9)]",Quận 3,35.0,3.0,,,True,True,False,False,6,False,nhà riêng,6.7
278481,"[datetime.datetime(2023, 9, 18, 21, 22)]",Quận 9,73.0,5.0,5.0,,True,False,True,False,0,False,nhà riêng,5.2
278470,"[datetime.datetime(2023, 9, 19, 8, 47)]",Tân Bình,33.0,4.0,5.0,,False,False,True,False,8,False,nhà mặt phố,5.5
278462,"[datetime.datetime(2023, 9, 19, 9, 19)]",Gò Vấp,95.0,5.0,6.0,,False,True,True,True,6,False,nhà mặt phố,11.5
278460,"[datetime.datetime(2023, 9, 19, 9, 33)]",Bình Thạnh,50.0,4.0,3.0,,False,False,True,False,4,False,nhà riêng,5.8
278456,"[datetime.datetime(2023, 9, 19, 10, 9)]",Tân Bình,63.0,2.0,2.0,,False,False,True,False,2,False,nhà riêng,5.4
