url,title,post_code,post_date,district,price,square,bedroom,bathroom
https://batdongsan.vn/giam-95-ty-nha-mat-tien-khu-vip-bau-cat-tan-binh-dien-tich-346m2-6-tang-gia-37-ty-r284354,"Giảm 9.5 Tỷ Nhà Mặt Tiền Khu VÍP Bàu Cát, Tân Bình, diện tích 346m2, 6 tầng, giá 37 Tỷ",284354,"[datetime.datetime(2023, 11, 10, 22, 54)]",Tân Bình,,,,
https://batdongsan.vn/ban-nha-tang-nhon-phu-a-50m2-3-tang-4pn-moi-o-ngay-chi-5-ty-r284353,"Bán nhà Tăng Nhơn Phú A, 50m2, 3 Tầng, 4PN, mới ở ngay chỉ 5 tỷ",284353,"[datetime.datetime(2023, 11, 11, 0, 14)]",Quận 9,5.0,50.0,4.0,3.0
https://batdongsan.vn/ban-nha-mat-tien-duong-588-phuoc-long-a-thu-duc-90m2-200m-ra-nha-ga-binh-thai-r284324,BÁN NHÀ MẶT TIỀN ĐƯỜNG 588 Phước Long A Thủ Đức- 90m2 - 200m ra Nhà Ga Bình Thái,284324,"[datetime.datetime(2023, 11, 11, 11, 7)]",Quận 9,4.8,90.0,2.0,1.0
https://batdongsan.vn/ban-nha-hxh-nguyen-huu-tien-tan-phu-64m2-so-a4-nha-3-tang-chi-4-ty-2-r284322,"BÁN NHÀ HXH NGUYỄN HỮU TIẾN, TÂN PHÚ - 64M2 SỔ A4 - NHÀ 3 TẦNG - CHỈ 4 TỶ 2",284322,"[datetime.datetime(2023, 11, 11, 12, 4)]",Tân Phú,4.2,64.0,3.0,3.0
https://batdongsan.vn/sieu-giam-gia-nha-2-lau-hem-3-gac-duong-thong-nhat-p16-go-vap-tphcm-r284321,Siêu giảm giá nhà 2 lầu hẻm 3 gác đường thống nhất p16 gò vấp tphcm,284321,"[datetime.datetime(2023, 11, 11, 13, 39)]",Gò Vấp,3.65,40.0,,
https://batdongsan.vn/4-ty-nhinh-nha-dep-hxh-trung-tam-go-vap-45m2-btct-3-tang-quang-trung-p11-gia-tlcc-r284320,"4 tỷ nhỉnh, nhà đẹp HXH trung tâm Gò Vấp, 45m2, BTCT 3 tầng Quang Trung, P11, giá TLCC",284320,"[datetime.datetime(2023, 11, 11, 14, 0)]",Gò Vấp,3.7,44.0,,3.0
https://batdongsan.vn/nha-rong-hem-thoang-o-to-do-cua-ni-su-huynh-lien-35-ty-r284319,"Nhà rộng hẻm thoáng, ô tô đỗ cửa Ni Sư Huỳnh Liên, 3.5 tỷ",284319,"[datetime.datetime(2023, 11, 11, 14, 0)]",Tân Bình,3.5,42.0,2.0,2.0
https://batdongsan.vn/hxh-5m-1-truc-50m2-3pn-ngang-5m-sieu-rong-gia-re-chi-3x-ty-tl-0948362610-r284308,"HXH 5M 1 TRỤC 50M2, 3PN NGANG 5M SIÊU RỘNG GIÁ RẺ CHỈ 3.X TỶ TL 0948362610",284308,"[datetime.datetime(2023, 11, 11, 15, 34)]",Bình Tân,3.6,50.0,,
https://batdongsan.vn/nha-sieu-vip-ban-gap-don-ve-bac-o-le-van-sy-phu-nhuan-tang-full-noi-that-don-vao-o-ngay-r278670,Nhà siêu VIP bán gấp dọn về Bắc ở Lê Văn Sỹ – Phú Nhuận tặng full nội thất dọn vào ở ngay,278670,"[datetime.datetime(2023, 9, 21, 13, 47)]",Phú Nhuận,4320.0,42.0,,
https://batdongsan.vn/nha-sieu-dep-duong-le-van-sy-quan-phu-nhuan-r278668,Nhà siêu đẹp đường Lê Văn Sỹ quận Phú Nhuận,278668,"[datetime.datetime(2023, 9, 21, 13, 49)]",Phú Nhuận,,42.0,4.0,4.0
https://batdongsan.vn/chinh-chu-can-tien-gap-ban-nha-7ty9-duong-nhieu-tu-phuong-7-quan-phu-nhuan-r278666,"Chính chủ cần tiền gấp bán nhà 7tỷ9 đường Nhiêu Tứ, phường 7, quận Phú Nhuận",278666,"[datetime.datetime(2023, 9, 21, 13, 57)]",Phú Nhuận,7.9,68.0,5.0,
https://batdongsan.vn/hem-4m-thong-nhat-4x11m-1-tret-2-lau-1-san-thuong-r278657,"Hẻm 4m Thống Nhất 4x11m, 1 Trệt 2 Lầu 1 Sân Thượng",278657,"[datetime.datetime(2023, 9, 19, 15, 34)]",Gò Vấp,4450.0,44.0,3.0,3.0
https://batdongsan.vn/nha-46m2-4115-3-phong-ngu-no-hau-hem-xe-hoi-le-dinh-can-binh-tan-nhinh-2-ty-r278643,NHÀ 46M2 (4×11.5) - 3 PHÒNG NGỦ - NỞ HẬU - HẺM XE HƠI - LÊ ĐÌNH CẨN BÌNH TÂN- NHỈNH 2 TỶ,278643,"[datetime.datetime(2023, 9, 19, 21, 54)]",Bình Tân,2.87,46.0,,
https://batdongsan.vn/nha-dep-binh-tan-giap-quan-6-hem-xe-hoi-thong-03pn-4wc-03-tang-dtsd-72m2-nhinh-3-ty-r278639,NHÀ ĐẸP BÌNH TÂN – GIÁP QUẬN 6 – HẺM XE HƠI THÔNG - 03PN – 4WC - 03 TẦNG – DTSD: 72m2 - NHỈNH 3 TỶ,278639,"[datetime.datetime(2023, 9, 19, 22, 46)]",Bình Tân,3.55,,,
https://batdongsan.vn/ban-nha-dep-tan-phu-5-tang-4x20m-gan-mat-tien-vuon-lai-gia-re-r278633,Bán nhà đẹp Tân PHú- 5 tầng 4x20m-gần Mặt tiền Vườn Lài-giá rẻ.,278633,"[datetime.datetime(2023, 9, 20, 7, 20)]",Tân Phú,8.28,80.0,5.0,4.0
